nombre,tamano, ancho, alto, tiempo_ejecucion
img1.jpg,2388034,3448,5168,2212
img2.jpg,937255,2075,3130,1321
img3.jpg,2398008,4000,6000,2851
img4.jpg,1882218,4000,6000,3395
img5.jpg,2189473,6720,4480,3584
img6.jpg,3232205,4368,6552,5644
img7.jpg,660510,4096,2730,1854
img8.jpg,642639,1999,2499,1436
img9.jpg,734602,4016,6016,1668
img10.jpg,3209892,6000,4000,3042
img11.jpg,1289486,2689,4034,1347
img12.jpg,292471,4160,6240,1627
img13.jpg,3431319,4000,6000,3056
img14.jpg,991145,3456,5184,1913
img15.jpg,2726392,4323,5263,2651
img16.jpg,3206220,4282,6423,4604
img17.jpg,1244425,2670,4000,1601
img18.jpg,1131756,3109,3887,1784
img19.jpg,2535525,4896,3264,2774
img20.jpg,2895647,3936,2952,1822
img21.jpg,2466733,3024,4032,1834
img22.jpg,2521215,3648,5472,2784
img23.jpg,2767142,4024,6048,3051
img24.jpg,1850304,4000,6000,3097
img25.jpg,2432264,4096,4096,2037
img26.jpg,681805,2699,4047,1236
img27.jpg,1152623,4128,6192,3424
img28.jpg,1053110,3180,4770,2846
img29.jpg,1735880,3577,5365,3507
img30.jpg,1401846,2606,3030,2119
